Experience (years),Years at Current Company,Location,Remote Ratio,Education Level,Company Size,Company Tier,Salary,Salary (USD)
13.2,8.9,Bangalore,100,PhD,Small,Tier 1,102463,20492
8.1,4.8,Austin,0,Master,Small,Tier 1,70514,63462
7.9,8.5,Seattle,50,PhD,Large,Tier 2,85262,80998
19.6,0.5,Austin,0,Master,Large,Tier 3,92466,83219
17.8,8.2,Chicago,50,Master,Medium,Tier 1,113754,96690
4.2,6.3,Remote,50,PhD,Large,Tier 3,53167,47850
11.6,8.6,London,100,PhD,Medium,Tier 1,105746,84596
18.5,0.8,London,100,PhD,Small,Tier 1,121506,97204
5.2,2.1,New York,0,Bachelor,Medium,Tier 3,41299,41299
18.4,2.5,Seattle,0,Master,Small,Tier 3,78711,74775
19.7,0.9,Bangalore,0,PhD,Small,Tier 3,90496,18099
4,8.9,Chicago,100,Bachelor,Medium,Tier 3,40217,34184
18.8,9.8,Bangalore,50,Master,Small,Tier 2,94640,18928
10.6,1.9,Seattle,100,Master,Large,Tier 2,77825,73933
3.9,6.6,New York,100,PhD,Small,Tier 2,56497,56497
5.2,6.2,San Francisco,50,Master,Small,Tier 3,46661,51327
3.4,9.4,San Francisco,50,Master,Large,Tier 2,54580,60038
11,1.5,London,0,Master,Large,Tier 3,68788,55030
0,8.3,London,50,PhD,Large,Tier 2,55249,44199
14.5,1.6,New York,0,Bachelor,Medium,Tier 3,59463,59463
17.7,1.1,Bangalore,0,PhD,Medium,Tier 3,88840,17768
12.9,0.4,New York,50,PhD,Medium,Tier 2,97820,97820
18.8,3.7,Austin,100,Bachelor,Medium,Tier 1,102937,92643
9.5,3.3,Seattle,50,Bachelor,Medium,Tier 3,45903,43607
5.5,7.3,Seattle,100,PhD,Small,Tier 2,58985,56035
10.2,2.7,London,50,PhD,Medium,Tier 1,103342,82673
16.4,2.8,Remote,50,Bachelor,Large,Tier 3,75072,67564
11,5.9,Chicago,50,Bachelor,Medium,Tier 1,76812,65290
12.3,3.9,New York,0,PhD,Medium,Tier 2,97589,97589
18.2,5.8,Austin,50,Bachelor,Small,Tier 2,73269,65942
18.1,8.9,London,50,Master,Medium,Tier 3,85985,68788
9,5,London,100,PhD,Large,Tier 1,104897,83917
16.9,8.1,Remote,100,PhD,Medium,Tier 2,109346,98411
12.3,5.7,Remote,50,Master,Medium,Tier 1,97645,87880
14.1,8.6,Remote,100,PhD,Large,Tier 3,87823,79040
11.7,4.3,Austin,50,PhD,Medium,Tier 2,89083,80174
17.9,7.9,Remote,0,PhD,Large,Tier 2,122058,109852
16.8,6.6,Seattle,100,Bachelor,Medium,Tier 2,82291,78176
4.6,1.2,New York,100,PhD,Small,Tier 2,56303,56303
4,3.2,Bangalore,100,Master,Small,Tier 1,52670,10534
15.6,3.5,Bangalore,50,Master,Large,Tier 3,84353,16870
1,2.4,New York,0,Master,Medium,Tier 2,43756,43756
6.2,6.9,Seattle,100,PhD,Medium,Tier 1,87054,82701
9.7,5.5,Austin,0,PhD,Large,Tier 3,74353,66917
5,0.4,London,100,Master,Medium,Tier 1,67126,53700
18.7,4.2,Remote,50,Master,Small,Tier 2,93721,84348
9.1,3.7,London,100,Bachelor,Medium,Tier 1,65983,52786
8.3,0.2,Remote,100,PhD,Small,Tier 1,84738,76264
0.8,3.9,San Francisco,0,PhD,Small,Tier 3,35435,38978
9.5,6.7,Chicago,0,Bachelor,Large,Tier 1,81395,69185
10.8,3.8,San Francisco,0,Master,Medium,Tier 1,88635,97498
4.1,0.4,Chicago,100,Master,Medium,Tier 3,47058,39999
9.1,8.1,Austin,50,PhD,Large,Tier 2,87738,78964
9.3,5.7,Seattle,50,PhD,Small,Tier 1,89357,84889
10.1,4.6,Austin,50,Bachelor,Large,Tier 3,56271,50643
12.6,2.2,London,50,PhD,Medium,Tier 2,95352,76281
16.2,5.1,Remote,0,Master,Small,Tier 2,88713,79841
12.1,4.9,Remote,100,Master,Large,Tier 3,74218,66796
19.5,2.1,Austin,50,Master,Medium,Tier 3,81671,73503
3,6.3,Bangalore,0,Master,Small,Tier 2,41741,8348
18.3,2.2,Remote,100,PhD,Small,Tier 1,128591,115731
4.9,1.9,London,100,Bachelor,Large,Tier 3,38304,30643
19.7,0.2,Seattle,50,Bachelor,Small,Tier 2,74213,70502
16.7,4.1,Austin,0,Master,Small,Tier 3,67220,60498
13.9,4.3,Chicago,0,PhD,Medium,Tier 2,98053,83345
13.8,2.7,Chicago,0,Master,Medium,Tier 1,103734,88173
1.9,6.6,Remote,0,Master,Medium,Tier 1,57277,51549
10.3,9.9,Chicago,0,Bachelor,Small,Tier 3,46491,39517
18.8,1.6,Seattle,0,PhD,Large,Tier 1,153939,146242
13.4,1.7,Austin,0,PhD,Large,Tier 2,105492,94942
1.7,1.2,London,50,PhD,Large,Tier 2,58331,46664
5.5,6.2,London,0,Master,Small,Tier 3,40225,32180
3.7,2.7,Austin,100,Master,Small,Tier 2,48372,43534
13.4,2.5,London,0,Master,Medium,Tier 1,102928,82342
12.8,5.4,Austin,100,Master,Small,Tier 1,83383,75044
13.6,0.9,Remote,50,Bachelor,Medium,Tier 2,65749,59174
13.1,6.3,New York,50,Bachelor,Large,Tier 3,59687,59687
13.9,6.3,London,100,Bachelor,Large,Tier 3,63251,50600
0,2,New York,100,Master,Small,Tier 2,32879,32879
8.8,8.2,New York,0,Master,Large,Tier 1,88778,88778
5.6,6.4,Seattle,100,Master,Large,Tier 2,63527,60350
3.9,2.9,Seattle,50,Master,Small,Tier 1,51875,49281
14.9,8.4,New York,50,Bachelor,Large,Tier 2,76811,76811
5.5,6.4,San Francisco,0,Bachelor,Medium,Tier 1,57044,62748
14.8,9.8,London,50,PhD,Large,Tier 1,131359,105087
19,8.4,Remote,100,Bachelor,Small,Tier 1,87592,78832
3.5,5.7,San Francisco,100,Bachelor,Large,Tier 1,57430,63173
18.3,8.2,Austin,100,PhD,Medium,Tier 2,117121,105408
4.6,5.4,London,0,Bachelor,Small,Tier 2,40958,32766
11.1,9.2,London,50,Bachelor,Large,Tier 3,52395,41916
8.6,1.5,Seattle,50,Master,Large,Tier 3,61524,58447
19.5,4.9,New York,50,Master,Small,Tier 1,111216,111216
11.1,3.4,Austin,0,Bachelor,Large,Tier 2,68659,61793
2.3,9.1,San Francisco,100,Bachelor,Medium,Tier 2,38862,42748
19,3.3,Bangalore,100,Bachelor,Small,Tier 2,79200,15840
1.6,2.2,Austin,100,Bachelor,Small,Tier 3,27969,25172
0.9,3.2,Remote,50,PhD,Small,Tier 2,41359,37223
16,1.5,London,50,Bachelor,Medium,Tier 2,76781,61424
6.6,5.7,Remote,50,PhD,Small,Tier 3,50464,45417
4.6,1.3,Austin,50,Master,Large,Tier 2,59224,53301
5,7.3,Remote,0,PhD,Large,Tier 1,80630,72567
5.7,9.9,San Francisco,0,Bachelor,Medium,Tier 1,61536,67689
4.9,0.4,Seattle,0,PhD,Large,Tier 1,85238,80976
18.7,1.3,San Francisco,100,Bachelor,Large,Tier 1,111741,122915
18.4,4.6,Austin,100,Bachelor,Medium,Tier 1,99305,89374
6.9,0.9,Bangalore,100,Master,Large,Tier 2,66595,13319
19.1,2.7,New York,100,Bachelor,Medium,Tier 1,96446,96446
15.9,4.6,Austin,50,PhD,Small,Tier 2,95918,86326
10.5,8.2,Bangalore,100,PhD,Medium,Tier 2,90986,18197
14.6,4.8,New York,0,Bachelor,Large,Tier 3,66987,66987
17,8.9,Bangalore,100,PhD,Medium,Tier 3,92276,18455
7.4,7.8,Austin,0,Bachelor,Medium,Tier 1,61130,55017
0.6,3.3,New York,0,Bachelor,Small,Tier 1,40724,40724
12.7,3.1,Seattle,100,Bachelor,Large,Tier 2,72568,68939
16,6.3,Bangalore,0,PhD,Large,Tier 1,140651,28130
1.2,0.3,San Francisco,50,Bachelor,Large,Tier 3,27981,30779
14.4,2.8,Seattle,100,Master,Small,Tier 3,63125,59968
19,2.4,New York,100,Bachelor,Medium,Tier 3,66353,66353
17.7,3,Chicago,100,Bachelor,Small,Tier 1,85592,72753
18,8.3,Remote,50,PhD,Medium,Tier 1,140258,126232
11.1,4.1,Austin,50,Bachelor,Large,Tier 3,57656,51890
6.4,3.6,New York,50,Bachelor,Medium,Tier 3,45376,45376
4.8,5.1,Austin,50,PhD,Small,Tier 3,47615,42853
4.9,2.6,Chicago,100,Bachelor,Small,Tier 2,45083,38320
18,3.3,Bangalore,50,Bachelor,Medium,Tier 1,95019,19003
10,1.5,Seattle,50,Master,Medium,Tier 3,62417,59296
4.6,2.1,Seattle,50,PhD,Small,Tier 3,43346,41178
17.7,1.5,London,50,Master,Large,Tier 3,88859,71087
12.5,7.5,Seattle,0,PhD,Small,Tier 2,83047,78894
17.3,5,Remote,100,Bachelor,Small,Tier 3,59193,53273
18.8,2.4,London,50,Bachelor,Large,Tier 1,109337,87469
9,8.6,Bangalore,50,PhD,Small,Tier 3,55563,11112
14.8,7,Bangalore,0,Bachelor,Small,Tier 3,57797,11559
6.4,0.9,Remote,50,PhD,Large,Tier 3,63217,56895
4.7,9.3,Seattle,0,Master,Large,Tier 2,65180,61921
16.7,3.3,Austin,0,Bachelor,Medium,Tier 1,95580,86022
4.9,2.5,London,0,Master,Large,Tier 3,48838,39070
1,2.5,New York,100,Bachelor,Large,Tier 1,46416,46416
1.6,2.7,New York,0,Master,Small,Tier 2,38731,38731
15.3,2.5,San Francisco,50,Master,Small,Tier 2,81052,89157
5.9,1.8,Seattle,0,Master,Large,Tier 3,55222,52460
6.8,5.1,San Francisco,0,Bachelor,Medium,Tier 3,47202,51922
3.4,1.6,London,100,Master,Large,Tier 3,48482,38785
12.2,8.1,Chicago,100,Bachelor,Large,Tier 1,90270,76729
1.6,1.9,Remote,50,PhD,Large,Tier 1,72427,65184
4.1,8,Austin,0,PhD,Medium,Tier 1,75342,67807
18,5.1,New York,50,Bachelor,Medium,Tier 2,80940,80940
7.3,7.3,Chicago,0,PhD,Small,Tier 1,83393,70884
1.4,3.3,New York,100,Bachelor,Medium,Tier 2,33126,33126
2.4,9.7,Seattle,100,Bachelor,Small,Tier 1,42242,40129
14.2,6.6,Chicago,50,PhD,Small,Tier 1,102343,86991
16.3,7.7,Austin,50,Master,Medium,Tier 2,96129,86516
7.8,9.6,Remote,50,Master,Small,Tier 3,50324,45291
16.6,9.9,Remote,50,Bachelor,Medium,Tier 2,76838,69154
17,1.5,Chicago,0,PhD,Large,Tier 1,145426,123612
14.6,0.5,New York,50,Bachelor,Large,Tier 1,100040,100040
8.7,1.2,Seattle,100,PhD,Medium,Tier 2,79871,75877
8.8,3.2,Remote,100,PhD,Small,Tier 3,62420,56178
6.9,1.9,Bangalore,100,Bachelor,Large,Tier 1,71675,14335
17.9,0.5,London,50,PhD,Small,Tier 1,120185,96148
6.1,0.3,Bangalore,100,PhD,Large,Tier 3,63324,12664
18.2,0.9,New York,100,PhD,Small,Tier 3,85346,85346
8.7,9.5,Remote,0,PhD,Medium,Tier 1,98907,89016
19.9,6.4,San Francisco,50,PhD,Large,Tier 1,163474,179821
1.1,6.3,Austin,100,Bachelor,Small,Tier 3,25813,23231
13.5,2,San Francisco,100,Bachelor,Medium,Tier 2,66263,72889
7.1,4.9,Chicago,0,PhD,Large,Tier 3,65857,55978
4.3,4.4,Bangalore,100,Bachelor,Medium,Tier 1,50641,10128
5,2.2,San Francisco,50,PhD,Large,Tier 1,84652,93117
11.8,9.4,Chicago,100,Bachelor,Small,Tier 1,66183,56255
5.4,5.4,Bangalore,100,Master,Small,Tier 2,46890,9378
0.1,0.8,Bangalore,100,Master,Medium,Tier 2,38082,7616
15.9,5.4,Austin,0,PhD,Medium,Tier 2,103284,92955
17.4,1.6,Chicago,100,Bachelor,Small,Tier 1,88577,75290
4.6,0.4,Chicago,0,Master,Small,Tier 1,63067,53606
7.4,5.3,London,50,PhD,Large,Tier 3,71009,56807
10.2,4,London,100,Bachelor,Medium,Tier 2,56818,45454
7.8,4.6,Chicago,100,PhD,Medium,Tier 1,90034,76528
14.5,0.1,Bangalore,100,Bachelor,Medium,Tier 1,82706,16541
1.9,6.8,Austin,0,Master,Large,Tier 1,61487,55338
5.1,9.2,New York,0,Bachelor,Large,Tier 3,44940,44940
16.4,8.3,New York,50,Master,Medium,Tier 1,111582,111582
8.1,8.6,New York,100,Master,Small,Tier 3,50712,50712
0.1,7.9,San Francisco,100,Master,Medium,Tier 1,43384,47722
10.9,4.4,London,50,Master,Small,Tier 2,64320,51456
9.3,1.2,Seattle,0,Bachelor,Small,Tier 2,50342,47824
9,2.3,Chicago,50,Bachelor,Large,Tier 2,67078,57016
5.7,0.4,London,50,Master,Medium,Tier 2,54124,43299
4.8,3,Seattle,100,Master,Small,Tier 2,51559,48981
16.7,7.1,Chicago,50,Master,Small,Tier 2,89916,76428
19.4,7.1,Chicago,100,Bachelor,Large,Tier 1,111348,94645
6.4,1.1,Austin,100,PhD,Medium,Tier 3,61937,55743
4.7,5.9,New York,100,Bachelor,Medium,Tier 1,58120,58120
15.9,3.8,London,50,PhD,Medium,Tier 2,106671,85336
9.6,3.3,Bangalore,100,PhD,Medium,Tier 2,82451,16490
5.8,7.4,Austin,50,Bachelor,Small,Tier 1,56053,50447
5,4.6,San Francisco,100,Bachelor,Medium,Tier 2,44021,48423
17.7,1,Chicago,0,PhD,Small,Tier 3,86187,73258
15.1,1.2,New York,50,PhD,Medium,Tier 1,126304,126304
4.5,9,Bangalore,0,Bachelor,Small,Tier 3,34004,6800
13.4,1.7,Seattle,0,PhD,Large,Tier 1,126375,120056
8.6,2.6,Remote,50,Master,Small,Tier 3,46674,42006
5.3,5.4,New York,50,Bachelor,Small,Tier 2,41952,41952
10.6,3.7,Chicago,100,Master,Medium,Tier 1,90421,76857
11.4,0.8,Remote,50,Master,Small,Tier 2,69962,62965
1.4,0.8,New York,100,Master,Large,Tier 2,52404,52404
0.5,9.4,Chicago,0,Master,Medium,Tier 2,41143,34971
4,4.2,Seattle,50,Master,Medium,Tier 2,54164,51455
5.8,1.3,London,100,PhD,Small,Tier 2,63794,51035
18,1.1,New York,0,Bachelor,Small,Tier 2,73693,73693
17.1,1.8,Remote,100,Bachelor,Large,Tier 3,73769,66392
8,7.2,Austin,0,PhD,Large,Tier 1,95669,86102
15.4,5.3,Bangalore,50,Bachelor,Medium,Tier 3,60594,12118
16.3,0.5,Bangalore,100,PhD,Large,Tier 3,96273,19254
10.5,7.1,Bangalore,0,Master,Small,Tier 3,53279,10655
6.1,8.9,New York,50,PhD,Medium,Tier 1,83737,83737
18.6,1.7,San Francisco,100,Master,Medium,Tier 2,104791,115270
6.2,2.3,Austin,100,Master,Medium,Tier 2,62728,56455
11.2,1.3,Chicago,100,Master,Small,Tier 2,70101,59585
6.3,2.2,Austin,100,PhD,Medium,Tier 1,81778,73600
15.3,7.5,Remote,100,Bachelor,Medium,Tier 3,60873,54785
5.9,9,New York,50,Bachelor,Medium,Tier 1,60775,60775
7,0.7,London,100,Bachelor,Small,Tier 3,43319,34655
1.5,7.4,Austin,100,Master,Small,Tier 3,34448,31003
12.7,0.7,Remote,0,Master,Small,Tier 2,74943,67448
7,6.8,Remote,50,Master,Large,Tier 2,70355,63319
11.2,9.4,Remote,100,PhD,Large,Tier 1,113928,102535
1.8,6.6,Chicago,0,Master,Small,Tier 3,35649,30301
14.7,5,New York,100,PhD,Small,Tier 3,80572,80572
3.7,9.8,San Francisco,50,PhD,Large,Tier 2,63417,69758
12.2,1.6,Chicago,50,Master,Large,Tier 3,75231,63946
17.3,0.4,Chicago,100,Master,Medium,Tier 1,109734,93273
15.9,0.4,Seattle,0,PhD,Medium,Tier 1,123809,117618
10.4,7.9,New York,0,PhD,Medium,Tier 1,105888,105888
13.7,2.6,New York,100,PhD,Small,Tier 3,69154,69154
2.8,5.5,San Francisco,50,Bachelor,Medium,Tier 2,44843,49327
11.6,1,Bangalore,50,Bachelor,Medium,Tier 2,64355,12871
7.1,4.4,New York,100,PhD,Medium,Tier 1,85402,85402
10.1,6.9,Seattle,100,Bachelor,Small,Tier 3,48899,46454
16.4,0.1,Austin,50,Master,Small,Tier 3,69566,62609
2.2,9.3,Remote,100,Master,Small,Tier 3,39356,35420
6.2,7.7,San Francisco,0,Bachelor,Large,Tier 2,58192,64011
17.5,7.6,San Francisco,50,Bachelor,Medium,Tier 3,65182,71700
0.9,6.9,San Francisco,50,Bachelor,Large,Tier 3,33163,36479
11.6,6.9,London,50,PhD,Medium,Tier 1,112117,89693
15.4,9.7,Bangalore,50,PhD,Medium,Tier 1,128546,25709
9.5,0.6,New York,0,Master,Small,Tier 3,51434,51434
12.5,3.3,New York,100,Bachelor,Small,Tier 2,57526,57526
10.5,0.7,Austin,50,Master,Medium,Tier 2,73484,66135
5.8,3.4,Chicago,0,Bachelor,Small,Tier 2,41799,35529
2.5,9.4,Chicago,0,Master,Medium,Tier 3,42212,35880
7.1,0.5,Chicago,0,Master,Large,Tier 2,72102,61286
14.5,4.1,Seattle,50,PhD,Medium,Tier 2,100811,95770
8.2,7.6,Chicago,100,PhD,Medium,Tier 2,75842,64465
10.9,9.7,Bangalore,0,Bachelor,Small,Tier 3,44524,8904
10.4,8,Remote,50,Bachelor,Medium,Tier 3,47124,42411
4.8,3.1,Bangalore,50,Master,Medium,Tier 2,53281,10656
9.6,7.2,Bangalore,100,Bachelor,Medium,Tier 2,60377,12075
7.6,7.7,Bangalore,50,Master,Medium,Tier 1,74576,14915
13.5,3.2,Seattle,50,Master,Medium,Tier 3,73106,69450
9.5,7.5,Seattle,100,Master,Large,Tier 1,88339,83922
15.6,2.3,Seattle,0,PhD,Large,Tier 2,118912,112966
8.7,2.5,Austin,0,PhD,Large,Tier 1,101914,91722
6.9,3.4,Chicago,100,PhD,Small,Tier 2,63975,54378
16.6,9.8,London,50,Bachelor,Small,Tier 3,53870,43096
11.8,6.5,Chicago,100,PhD,Large,Tier 1,119048,101190
7.1,9.3,Seattle,50,PhD,Large,Tier 2,76109,72303
7.2,0.2,Austin,50,Bachelor,Large,Tier 1,72018,64816
17.4,5.2,Seattle,100,Master,Medium,Tier 3,82269,78155
8.2,9.7,New York,0,Master,Large,Tier 1,88115,88115
10,1.1,Seattle,0,Master,Small,Tier 2,60657,57624
19.4,9.4,Chicago,50,PhD,Small,Tier 1,128239,109003
17.9,4.3,Austin,0,PhD,Large,Tier 3,105087,94578
16.6,8.9,London,50,PhD,Large,Tier 2,124378,99502
8.1,6.9,Austin,50,Master,Medium,Tier 2,65234,58710
8,8.3,San Francisco,50,Bachelor,Large,Tier 2,55990,61589
17.7,7.7,London,100,Bachelor,Medium,Tier 1,95843,76674
18.3,2.4,Chicago,100,PhD,Large,Tier 2,133296,113301
6.9,0.2,Bangalore,100,Master,Large,Tier 1,78724,15744
1.3,2.1,New York,100,Bachelor,Small,Tier 1,35075,35075
3.6,8.2,Chicago,100,Bachelor,Small,Tier 1,44376,37719
17.1,0.2,Seattle,100,PhD,Medium,Tier 3,96109,91303
18.2,9.1,New York,0,Master,Large,Tier 1,134309,134309
9.1,1.2,Seattle,0,Master,Small,Tier 3,49694,47209
2,3.6,Bangalore,0,PhD,Medium,Tier 3,43269,8653
9.7,0.4,San Francisco,0,PhD,Medium,Tier 3,71379,78516
11.7,2.3,Chicago,0,Master,Medium,Tier 3,66170,56244
13,7.7,Chicago,100,PhD,Large,Tier 3,82916,70478
17.2,9.2,New York,0,PhD,Large,Tier 2,123778,123778
19.2,9.8,Seattle,50,PhD,Medium,Tier 1,143650,136467
13.7,9.4,New York,0,PhD,Medium,Tier 2,103711,103711
3,4.4,London,100,Bachelor,Small,Tier 3,26564,21251
15,9.5,Remote,50,PhD,Small,Tier 1,108597,97737
5.3,1.3,Chicago,0,Bachelor,Small,Tier 1,46073,39162
17.9,5.3,Seattle,50,Bachelor,Small,Tier 2,78385,74465
6.9,2.7,Austin,100,Bachelor,Medium,Tier 2,51198,46078
6.5,4,San Francisco,0,Master,Small,Tier 1,63273,69600
4.3,6.4,New York,0,Master,Small,Tier 2,50039,50039
1.5,0.6,London,0,Master,Medium,Tier 2,46773,37418
13.7,6.1,London,0,Bachelor,Medium,Tier 1,81980,65584
19.9,8.6,Austin,50,PhD,Large,Tier 1,160473,144425
6,3.5,Remote,0,Master,Medium,Tier 3,45616,41054
10.5,7.3,Remote,0,Master,Medium,Tier 1,82882,74593
6.6,9.5,San Francisco,100,PhD,Medium,Tier 3,62976,69273
1.1,3,Remote,100,Master,Small,Tier 2,36123,32510
13,0.7,New York,0,Bachelor,Small,Tier 1,70972,70972
17.8,0.7,San Francisco,50,PhD,Medium,Tier 2,112248,123472
5.7,5,Bangalore,100,Master,Small,Tier 1,63468,12693
4,6.6,Chicago,0,PhD,Large,Tier 2,63799,54229
8.1,6.6,New York,0,Bachelor,Large,Tier 1,67685,67685
10.8,6.9,London,100,Bachelor,Small,Tier 3,43566,34852
9.9,1.7,Austin,100,Master,Medium,Tier 2,73260,65934
14.5,7.1,Remote,50,PhD,Large,Tier 2,110985,99886
13.3,2.8,Seattle,100,Bachelor,Medium,Tier 2,70272,66758
3.8,2.4,Remote,50,Master,Medium,Tier 2,55932,50338
7,1.6,London,100,PhD,Small,Tier 3,54134,43307
10.7,2.2,Austin,50,Master,Small,Tier 2,70842,63757
17,2.6,Remote,50,Master,Medium,Tier 1,109360,98424
16,0.5,San Francisco,100,Bachelor,Small,Tier 2,65540,72094
2,8.1,Remote,100,PhD,Small,Tier 2,48116,43304
9.9,5.3,San Francisco,0,Bachelor,Small,Tier 1,63944,70338
12.9,8,London,50,Bachelor,Small,Tier 2,63844,51075
13.5,5.9,Seattle,100,Bachelor,Small,Tier 3,47825,45433
3.6,8.8,San Francisco,100,Master,Medium,Tier 3,39882,43870
16.4,0.8,London,0,PhD,Medium,Tier 1,132835,106268
19.9,2.7,New York,100,Master,Medium,Tier 3,86127,86127
18.7,3.7,Bangalore,100,Bachelor,Medium,Tier 2,85398,17079
5,5.4,New York,50,Bachelor,Small,Tier 2,45989,45989
14.3,6.6,Bangalore,50,PhD,Small,Tier 2,92166,18433
7.7,1.8,Chicago,100,PhD,Medium,Tier 2,78026,66322
12.8,8.2,Seattle,50,PhD,Large,Tier 1,122102,115996
2.8,3.7,Chicago,0,PhD,Small,Tier 3,38191,32462
6.9,4.1,London,100,PhD,Small,Tier 1,78597,62877
14.6,7.5,Austin,50,Master,Medium,Tier 3,76455,68809
8,2.9,New York,100,PhD,Large,Tier 1,104366,104366
0.7,3.4,Chicago,50,PhD,Medium,Tier 1,60595,51505
4.6,0.3,London,50,Master,Medium,Tier 3,42019,33615
12,5.2,San Francisco,50,PhD,Small,Tier 3,68936,75829
4,5.9,San Francisco,100,PhD,Medium,Tier 3,54090,59499
19.7,5.9,Remote,50,PhD,Medium,Tier 1,144872,130384
6,5.5,San Francisco,0,Master,Small,Tier 1,64134,70547
6.8,4.7,Austin,0,Master,Large,Tier 1,84138,75724
7.8,1.5,Remote,100,Master,Small,Tier 1,72476,65228
19.8,9.3,Bangalore,100,Master,Small,Tier 2,90836,18167
3.1,6.1,San Francisco,0,Bachelor,Large,Tier 3,40422,44464
14.8,6.2,New York,0,PhD,Medium,Tier 3,83777,83777
17.8,4.4,Chicago,0,Master,Small,Tier 3,76867,65336
17.6,1.9,Remote,50,Master,Medium,Tier 2,100055,90049
2.6,4.4,New York,0,Bachelor,Medium,Tier 2,39475,39475
6.5,7.4,Remote,0,PhD,Small,Tier 1,74925,67432
11.9,2.3,Austin,50,Bachelor,Large,Tier 3,59175,53257
0.5,8.3,New York,50,PhD,Medium,Tier 1,57353,57353
14.3,1.1,San Francisco,100,PhD,Large,Tier 1,134426,147868
9.8,6.5,Seattle,0,PhD,Large,Tier 2,88764,84325
7.4,8.5,Remote,50,Master,Large,Tier 2,67769,60992
11,9.2,New York,0,PhD,Large,Tier 3,83665,83665
0.6,7.7,Austin,0,PhD,Large,Tier 2,51786,46607
9.6,4.9,New York,0,PhD,Small,Tier 1,87472,87472
17.3,9.8,Bangalore,50,PhD,Small,Tier 3,78607,15721
12.7,1.4,Austin,100,Master,Small,Tier 1,84183,75764
12.1,0.1,Austin,100,PhD,Small,Tier 2,81601,73440
7.8,5,San Francisco,100,PhD,Small,Tier 3,51797,56976
11.2,4.2,Remote,50,PhD,Medium,Tier 2,93165,83848
18.8,3,Austin,50,PhD,Large,Tier 1,155243,139718
1.8,3.7,New York,100,Bachelor,Medium,Tier 2,41341,41341
18.8,4.8,San Francisco,0,Bachelor,Small,Tier 2,79096,87005
19.4,2.5,Seattle,0,Master,Small,Tier 3,73065,69411
8.2,6.1,San Francisco,0,Bachelor,Small,Tier 1,59486,65434
12.4,4,Chicago,0,Bachelor,Large,Tier 2,73055,62096
9.4,9.1,London,100,Master,Medium,Tier 1,80647,64517
13.1,4.7,London,50,PhD,Medium,Tier 1,116940,93552
8.9,9,Chicago,0,Master,Small,Tier 3,50251,42713
11.3,8.2,London,50,PhD,Small,Tier 2,85115,68092
2,5.1,Seattle,100,Bachelor,Large,Tier 3,31523,29946
5.2,2.6,Bangalore,50,PhD,Large,Tier 3,62958,12591
17.6,4.8,San Francisco,50,Bachelor,Large,Tier 1,103474,113821
9.3,4.8,Remote,100,Bachelor,Large,Tier 2,60360,54324
14.5,4.7,Austin,50,PhD,Large,Tier 1,128905,116014
0.6,2.4,Seattle,100,Master,Medium,Tier 3,29487,28012
1.5,1.6,Seattle,50,Bachelor,Large,Tier 2,44426,42204
18.4,6.9,San Francisco,50,Bachelor,Large,Tier 2,88231,97054
6.1,3,Seattle,50,PhD,Medium,Tier 1,86942,82594
19.1,2,Chicago,100,PhD,Small,Tier 2,105474,89652
2.9,3,Seattle,100,PhD,Small,Tier 3,45551,43273
2.1,3.9,Bangalore,100,PhD,Medium,Tier 3,47963,9592
14.9,4.2,New York,0,Master,Large,Tier 3,81143,81143
10,8.7,Austin,0,Master,Large,Tier 3,66154,59538
17.2,4,Bangalore,0,Bachelor,Large,Tier 3,76729,15345
18.3,7.2,Chicago,100,PhD,Large,Tier 1,147376,125269
15.3,6.8,Austin,50,Bachelor,Large,Tier 1,97281,87552
3.9,0.9,Bangalore,0,Bachelor,Large,Tier 2,50543,10108
19.6,3,Austin,50,Bachelor,Small,Tier 1,91319,82187
16.8,6.2,Remote,100,PhD,Large,Tier 2,126083,113474
13,6.3,Seattle,100,PhD,Small,Tier 2,82450,78327
11.9,2.6,Chicago,0,Bachelor,Small,Tier 3,53372,45366
12.3,7,Seattle,0,Bachelor,Large,Tier 2,68533,65106
16.6,7.8,Chicago,100,Bachelor,Large,Tier 1,98490,83716
13,3.9,London,50,PhD,Large,Tier 2,106862,85489
11.5,9.7,New York,0,Master,Small,Tier 2,66770,66770
8.9,2.3,Remote,0,Master,Medium,Tier 1,79363,71426
19.2,8.9,New York,0,Bachelor,Large,Tier 2,94645,94645
12.4,3.2,Austin,50,Bachelor,Small,Tier 1,68637,61773
7.7,3,New York,50,Master,Large,Tier 3,61167,61167
1.1,1,Seattle,0,Master,Small,Tier 3,28770,27331
6.1,6.5,New York,100,PhD,Medium,Tier 1,83665,83665
3.8,9.1,New York,50,PhD,Small,Tier 2,53809,53809
6.5,9.9,Chicago,50,Master,Small,Tier 2,50457,42888
12.8,5.9,New York,100,Master,Medium,Tier 2,78005,78005
13.3,1.4,Seattle,50,PhD,Large,Tier 2,109588,104108
7.5,1.8,Bangalore,0,Master,Large,Tier 1,85529,17105
1.1,8.7,Chicago,100,PhD,Small,Tier 2,48385,41127
9.9,6.1,New York,50,Bachelor,Medium,Tier 3,50810,50810
16.3,5.5,New York,50,Bachelor,Small,Tier 1,84634,84634
14.7,2.9,Chicago,0,Bachelor,Medium,Tier 3,62363,53008
4.1,7.9,London,50,Bachelor,Small,Tier 1,52024,41619
